Katherines' Angels	Low crime doesn't mean no crime	Opposites Attract	Auckland A
Peaked at reg downhill from there	Haram Memes for Non-Hijab-Wearing Teens	ESL Open	This is our last tournament
LSE A(gain)	Beautiful Heterosexual Couple	Gender Quotas? Oh shit	Oxford Asian Persuasion
Old-fashioned Call Out	?? Cans In OG	Hot Gay Time Machine	The Adventures of Tim Tim
Women of Cambridge A's Past	you vs the fresher they told you not to worry about	We can make Chennai jokes	[Name redacted by Shitposting Admins]
SSDC NAMDA Emigres A	Darth Vader 4 EUDC Convenor	Балтия наша	Need to get a life
2 long boiiizz	We Have 99 Accents and RP isn't one of them	More or less Raluca Vacaru	Oodles of noodles
Denver NO	Trickle out economy	Öresund A	EUDC's briefest semi-finalists
Maastricht A	The Team From OG	Judy's leg	Denver WB
Deam Team and the Appreciation of Memes Society	Third Time Lucky	Lumina A	Policy Exchange A
We're here for your jobs	Oxford LS	QM Team TM	Two Sweet African Boys
Oxford DS	What would Kallina do	Stahlhof	Richard's idea of a valentines date
Last Night I Dreamt of San Pedro	QM Team AS	UtrechtJE	The Team From CO
The Team From CG	The Team From OO	Warwick RL	UWU A
Jonny Heywood Fan Club A	No need to give high speaks, we're still undergraduates	The Sunken Place	FinnCzech Intellectuals
QM Team FC	Middlesex B	White Noise	The Only Way is Essex
Hagelslag	Sophistry	Covfefe	Swing C
