Hot Gay Time Machine	Gender Quotas? Oh shit	Haram Memes for Non-Hijab-Wearing Teens	Opposites Attract
Need to get a life	Auckland A	Low crime doesn't mean no crime	We Have 99 Accents and RP isn't one of them
Policy Exchange A	More or less Raluca Vacaru	LSE A(gain)	We're here for your jobs
[Name redacted by Shitposting Admins]	Katherines' Angels	you vs the fresher they told you not to worry about	Women of Cambridge A's Past
Oxford LS	?? Cans In OG	ESL Open	Old-fashioned Call Out
Trickle out economy	Richard's idea of a valentines date	SSDC NAMDA Emigres A	Балтия наша
Maastricht A	Peaked at reg downhill from there	EUDC's briefest semi-finalists	Oxford Asian Persuasion
Oxford DS	Oodles of noodles	Stahlhof	Beautiful Heterosexual Couple
Darth Vader 4 EUDC Convenor	We can make Chennai jokes	No need to give high speaks, we're still undergraduates	Third Time Lucky
This is our last tournament	The Adventures of Tim Tim	Two Sweet African Boys	Deam Team and the Appreciation of Memes Society
What would Kallina do	White Noise	UWU A	Judy's leg
Lumina A	Öresund A	Denver WB	QM Team TM
The Team From OG	Swing C	UtrechtJE	Last Night I Dreamt of San Pedro
2 long boiiizz	QM Team AS	The Sunken Place	Warwick RL
The Team From CO	The Only Way is Essex	FinnCzech Intellectuals	The Team From CG
QM Team FC	Jonny Heywood Fan Club A	Denver NO	Sophistry
Middlesex B	Covfefe	Hagelslag	The Team From OO
