Auckland A	Opposites Attract	We can make Chennai jokes	Hot Gay Time Machine
Women of Cambridge A's Past	SSDC NAMDA Emigres A	Katherines' Angels	Low crime doesn't mean no crime
LSE A(gain)	Öresund A	Haram Memes for Non-Hijab-Wearing Teens	[Name redacted by Shitposting Admins]
Gender Quotas? Oh shit	Oxford Asian Persuasion	Old-fashioned Call Out	Peaked at reg downhill from there
?? Cans In OG	Judy's leg	Балтия наша	Stahlhof
Beautiful Heterosexual Couple	Third Time Lucky	We Have 99 Accents and RP isn't one of them	The Adventures of Tim Tim
Warwick RL	Denver WB	No need to give high speaks, we're still undergraduates	Maastricht A
White Noise	Two Sweet African Boys	The Team From OO	Trickle out economy
Denver NO	This is our last tournament	The Team From OG	you vs the fresher they told you not to worry about
UWU A	Darth Vader 4 EUDC Convenor	EUDC's briefest semi-finalists	Need to get a life
QM Team TM	Oodles of noodles	Richard's idea of a valentines date	More or less Raluca Vacaru
Jonny Heywood Fan Club A	Policy Exchange A	Oxford LS	2 long boiiizz
UtrechtJE	Lumina A	Oxford DS	QM Team FC
The Team From CG	Deam Team and the Appreciation of Memes Society	Last Night I Dreamt of San Pedro	ESL Open
Covfefe	The Only Way is Essex	The Team From CO	We're here for your jobs
Sophistry	The Sunken Place	Swing C	What would Kallina do
Hagelslag	FinnCzech Intellectuals	QM Team AS	Middlesex B
