Oxford Asian Persuasion	Low crime doesn't mean no crime	Denver WB	EUDC's briefest semi-finalists
Opposites Attract	This is our last tournament	Lumina A	The Team From OO
Haram Memes for Non-Hijab-Wearing Teens	ESL Open	The Team From CG	The Only Way is Essex
Hot Gay Time Machine	Swing B	2 long boiiizz	LSE A(gain)
The Adventures of Tim Tim	Auckland A	Katherines' Angels	Sophistry
SSDC NAMDA Emigres A	We're here for your jobs	Two Sweet African Boys	Old-fashioned Call Out
Women of Cambridge A's Past	Maastricht A	UWU A	you vs the fresher they told you not to worry about
Policy Exchange A	Trickle out economy	Judy's leg	Peaked at reg downhill from there
Beautiful Heterosexual Couple	Warwick RL	We can make Chennai jokes	The Team From CO
What would Kallina do	?? Cans In OG	Deam Team and the Appreciation of Memes Society	FinnCzech Intellectuals
Jonny Heywood Fan Club A	Балтия наша	Darth Vader 4 EUDC Convenor	Hagelslag
Need to get a life	The Sunken Place	More or less Raluca Vacaru	We Have 99 Accents and RP isn't one of them
Third Time Lucky	Last Night I Dreamt of San Pedro	Middlesex B	QM Team AS
Öresund A	Covfefe	The Team From OG	Oodles of noodles
No need to give high speaks, we're still undergraduates	[Name redacted by Shitposting Admins]	Swing C	Richard's idea of a valentines date
Denver NO	QM Team FC	UtrechtJE	Gender Quotas? Oh shit
QM Team TM	Oxford LS	Stahlhof	White Noise
