ENL	ESL	EFL	Team	Team Points	Speaker Points	#1	#2	#3	#4	#5	#6	#7	#8	#9
1	1		TEL AVIV A	25	1527	3	3	3	3	2	2	3	3	3
2			USU B	22	1480	3	3	2	3	2	0	3	3	3
3			DURHAM A	21	1483	3	2	3	3	3	3	1	2	1
4	2		TEL AVIV B	21	1481	3	3	3	2	3	0	3	2	2
5			CAMBRIDGE A	21	1476	2	3	2	3	0	2	3	3	3
6			HARVARD A	20	1485	3	3	3	1	3	1	2	3	1
7			CAMBRIDGE C	20	1462	1	1	3	3	2	3	2	3	2
8			YALE C	20	1460	2	3	3	2	2	1	3	2	2
9			PRINCETON A	20	1442	2	3	2	2	3	1	2	2	3
10			ANU A	20	1227	3	3	0	3	2	1	3	2	3
11			USU D	20	1213	3	2	1	2	2	2	3	2	3
12			OXFORD A	19	1490	3	3	3	3	1	1	2	3	0
13			STANFORD A	19	1483	3	1	3	3	3	2	2	1	1
14			YALE A	19	1469	1	3	3	3	1	2	2	1	3
15			USU C	19	1466	2	3	2	2	2	0	3	3	2
16			UCD L&H A	19	1465	3	3	1	3	3	3	2	0	1
17	3		IBA-DU A	19	1453	2	3	1	3	2	1	3	1	3
18			STANFORD C	19	1443	3	3	2	2	1	2	1	2	3
19	4		MALAYA A	19	1433	3	1	0	3	3	3	3	1	2
19	4		IIUM A	19	1433	2	1	1	3	3	1	2	3	3
21			YALE E	19	1426	3	1	2	0	3	3	2	3	2
22			HOPKINS A	19	1417	1	2	3	0	3	3	1	3	3
23			HARVARD B	18	1481	3	3	1	0	2	2	3	3	1
24			EDINBURGH A	18	1479	3	3	3	0	3	2	3	1	0
25			OXFORD B	18	1469	3	1	3	2	3	3	1	2	0
26			CAMBRIDGE B	18	1458	3	3	2	1	1	2	3	1	2
27			TCD PHIL A	18	1451	2	3	2	2	3	0	3	3	0
28			HARVARD D	18	1443	3	2	2	2	2	3	0	3	1
29			HARVARD C	18	1441	2	1	3	2	3	1	3	0	3
30			CAPE TOWN B	18	1439	2	3	2	3	0	3	1	1	3
31			MONASH A	18	1437	3	0	2	3	3	2	0	3	2
32			UWA A	18	1436	3	2	3	2	1	1	0	3	3
33			CARLETON A	18	1432	2	2	1	0	3	2	3	2	3
34			QDU A	18	1431	1	3	2	3	0	3	2	1	3
35			LSE A	18	1428	1	2	3	3	0	0	3	3	3
36			ATENEO A	18	1424	2	2	3	3	0	0	3	3	2
37			BUDS A	18	1422	3	2	2	1	2	2	2	2	2
38			USU A	17	1468	2	2	3	3	2	3	0	0	2
39			YALE B	17	1461	2	2	3	3	1	3	1	1	1
40			OXFORD C	17	1456	3	3	1	2	3	2	3	0	0
41			UNSW A	17	1454	3	2	3	1	3	0	1	2	2
41			SWARTHMORE A	17	1454	3	0	3	1	3	3	3	0	1
43			BROWN A	17	1450	1	2	3	1	3	3	1	2	1
44			VIC A	17	1448	2	3	0	3	3	0	2	2	2
45			YALE D	17	1445	3	1	3	2	2	1	2	3	0
46			CORNELL A	17	1437	1	3	2	3	2	0	2	2	2
47	6		DLSU A	17	1434	3	0	2	2	2	3	1	1	3
48	7		TEL AVIV C	17	1432	1	3	1	2	3	0	3	2	2
49			CAPE TOWN A	17	1431	3	0	2	3	1	1	1	3	3
50	8		HEBREW A	17	1427	3	2	3	0	1	0	3	3	2
51			HART HOUSE A	17	1420	2	3	1	1	2	2	3	0	3
52			UNSW C	17	1419	3	2	2	0	3	1	1	2	3
53			GW B	17	1416	3	1	2	0	2	0	3	3	3
54			TUFTS A	17	1413	2	2	2	1	1	3	2	2	2
55			CORNELL C	17	1408	1	3	0	2	2	3	2	1	3
